item,quantity,unit
Rice,5.0,kg
Wheat Flour,3.0,kg
Sugar,2.0,kg
Salt,1.0,kg
Milk,10.0,litre
Curd,2.0,kg
Butter,0.5,kg
Paneer,1.0,kg
Eggs,30.0,count
Chicken,2.0,kg
Fish,1.5,kg
Tomato,2.0,kg
Onion,2.0,kg
Potato,3.0,kg
Carrot,1.0,kg
Beans,1.0,kg
Spinach,0.5,kg
Cabbage,1.0,kg
Capsicum,0.5,kg
Apple,2.0,kg
Banana,12.0,count
Orange,1.5,kg
Mango,2.0,kg
Cooking Oil,2.0,litre
Ghee,0.5,kg
Tea Powder,0.25,kg
Coffee Powder,0.2,kg
Biscuits,5.0,pack
Bread,4.0,loaf
Jam,1.0,jar
Peanut Butter,1.0,jar
Maggi,10.0,pack
Oats,1.0,kg
Cornflakes,1.0,kg
Dal (Toor),2.0,kg
Dal (Moong),1.0,kg
Dal (Chana),1.0,kg
Garlic,0.25,kg
Ginger,0.25,kg
Green Chilli,0.2,kg
Coriander Leaves,0.1,kg
